type,param,seed,P0_sim,W_sim,L_sim,throughput_sim,time,P0_th,W_th,L_th,thr_th
lambda,0.06,35,0.9899486013706301,0.16876485948903722,0.010126161593117414,0.0600016,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,36,0.9900358728562054,0.1683559175743235,0.010108998413117284,0.0600454,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,37,0.9902527845617168,0.1681361454102406,0.010092775654998677,0.0600274,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,38,0.9901073219809342,0.16809588739761858,0.010091518932794852,0.0600343,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,39,0.9898362629464665,0.1682087435228393,0.01008715875245198,0.0599681,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,40,0.9900333111259161,0.16834849185320047,0.010107643450866156,0.06004,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,41,0.9899831888014115,0.1686161933754181,0.010130275420182406,0.060079,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,42,0.9898381526939879,0.16848809386484737,0.010124028340104016,0.0600875,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,43,0.9900089526706582,0.16851576878235253,0.010126752906052935,0.0600938,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,44,0.9901776199822897,0.16817870076374816,0.010084852609168235,0.0599651,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,45,0.9898752567506638,0.16827047870632517,0.01007654107637087,0.059883,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,46,0.9901255132550992,0.1685499014272627,0.010118640507333576,0.0600335,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,47,0.9902439187148933,0.1682813899306885,0.010087139903364323,0.0599421,0.12,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,48,0.9899896565336229,0.16874580193926308,0.010131143582249282,0.0600379,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,49,0.990119996409085,0.1679710989178173,0.010103763947884764,0.0601518,0.12,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,50,0.9901345650664816,0.16858127127242864,0.010102468694780068,0.0599264,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,51,0.9900442865656294,0.1681600870462288,0.01007368046253045,0.0599053,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,52,0.9900841175980678,0.168342417695254,0.010106437046334573,0.060035,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,53,0.9899160195321992,0.16861678397320992,0.010131406911743907,0.0600854,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,54,0.9901418104979461,0.1684327450862397,0.01009927792519446,0.0599603,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,55,0.9899801300036944,0.16863037488056418,0.01013310040479803,0.0600906,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,56,0.9899430869770397,0.16832984515315888,0.010094521985036239,0.0599687,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,57,0.9900436029566069,0.16857357901026526,0.010121461116218545,0.0600418,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,58,0.9899712274298502,0.16827291521755913,0.010106000123803993,0.0600572,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,59,0.990006219019529,0.1685909710546864,0.010111631248238242,0.0599773,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,60,0.9897923777304013,0.1682953929746478,0.010088534650022452,0.0599454,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,61,0.9900802089286427,0.16841767662944682,0.010137531525820967,0.0601928,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,62,0.9898772449456984,0.16877592234188007,0.01013713759084364,0.0600627,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,63,0.9900281083527906,0.1686070126521392,0.010131409922553127,0.0600889,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,64,0.9898285255874586,0.168262998669293,0.010067848262378477,0.059834,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,65,0.9898571838141657,0.16845076139896964,0.010105900218760667,0.0599932,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,66,0.9900613685077219,0.1682063016963111,0.010092075330435612,0.0599982,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,67,0.9898327745849298,0.1682262149065153,0.010116182497674353,0.0601344,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,68,0.9899680947051888,0.1680780428960486,0.010077740950591309,0.0599587,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,69,0.9901146546872555,0.16835722267937997,0.010111299094011811,0.0600586,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,70,0.9898916979546651,0.16847454423359437,0.010105170552948683,0.0599804,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,71,0.9900605315962913,0.1684171193751926,0.010088623335084413,0.0599026,0.12,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,72,0.9900139947182834,0.16828226974751634,0.01011277154643422,0.0600941,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,73,0.9899819745446616,0.16824139827550297,0.010108229218769287,0.0600817,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,74,0.9898022965668176,0.16875547531898963,0.010124299110739931,0.0599939,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,75,0.9901391753522736,0.16811698914469214,0.010082765988856168,0.0599747,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,76,0.9899614771894794,0.16828309998195315,0.010130322881023614,0.0601981,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,77,0.9900581273478025,0.16853445989579477,0.010130505263660286,0.0601094,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,78,0.9900324629263367,0.16809718855487962,0.010071459003671334,0.0599145,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,79,0.9899193514799445,0.16886598899113905,0.010136332968583213,0.0600259,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,80,0.9899900501499155,0.16843175601582203,0.010089129558050147,0.0599004,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,81,0.9900028029524433,0.16871496416863435,0.010112235064382604,0.0599368,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,82,0.9898643346789677,0.1682883765704837,0.01008003620679289,0.0598974,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,83,0.9896957433427696,0.16865185123812163,0.010110020739505562,0.0599461,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,84,0.9898286625890284,0.16795309783867046,0.010085768273619783,0.0600511,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,85,0.9899754422476587,0.1687882696741374,0.010137845447302878,0.0600625,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,86,0.9900072849686813,0.16842135251080387,0.01012613171408907,0.0601238,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,87,0.9900593212583095,0.1682071442662265,0.01010866064539528,0.0600965,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,88,0.990022648587706,0.16834454439371072,0.010123601190569065,0.0601362,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,89,0.9900904616936393,0.16810407529633764,0.010066357805672702,0.0598817,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,90,0.989904404091004,0.1682647863181992,0.010076957390631153,0.0598875,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,91,0.9901367286816795,0.16796641871006315,0.01007464259087146,0.0599801,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,92,0.9901026943499751,0.16810342221236518,0.010073664817444868,0.0599254,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,93,0.9898754101859509,0.16848288114186566,0.01010439013414488,0.0599728,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,94,0.9900041017364017,0.16809874292377142,0.010081654867356021,0.0599746,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,95,0.9901206165028716,0.16854712183374834,0.010110046282514643,0.0599835,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,96,0.9902059821111996,0.1679467766242211,0.010041806489204778,0.0597916,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,97,0.9898850888782629,0.1682076292404007,0.01009587236929762,0.0600203,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,98,0.9901364022306111,0.16834820072710427,0.01009208743272823,0.0599477,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,99,0.9898875637025177,0.16832581835349175,0.010103774079250177,0.0600251,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,100,0.9899681783612857,0.16797306848507765,0.010071530807910468,0.0599592,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.5,1,0.9167740650635133,0.1817758782032515,0.09081877337996941,0.4996195,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,2,0.9167081476355847,0.18188086310222476,0.0909456151557108,0.5000285,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,3,0.916700140108358,0.18172250712697602,0.09084286324576676,0.4998988,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,4,0.9166599493672304,0.18184293632517012,0.09091290336028414,0.4999529,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,5,0.9167197265511662,0.1816862975681712,0.09079769087243404,0.4997498,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,6,0.91693172603016,0.18163598993080762,0.09078052346068108,0.4997937,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,7,0.9167239880222202,0.18171877442369905,0.0908519549139756,0.4999591,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,8,0.9165503173236638,0.1818706243490678,0.09092279947557869,0.4999312,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,9,0.9165938339622385,0.1818999867137474,0.09092996616833653,0.4998899,0.44,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
